Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
8.691406e+01	4.121094e+02	-6.217500e-01	-6.228750e-01	
8.789063e+01	4.111328e+02	-6.225000e-01	-6.213750e-01	
8.886719e+01	4.101563e+02	-6.210000e-01	-6.228750e-01	
8.984375e+01	4.091797e+02	-6.225000e-01	-6.217500e-01	
9.082031e+01	4.082031e+02	-6.232500e-01	-6.236250e-01	
9.179688e+01	4.072266e+02	-6.228750e-01	-6.240000e-01	
9.277344e+01	4.062500e+02	-6.217500e-01	-6.228750e-01	
9.375000e+01	4.052734e+02	-6.236250e-01	-6.217500e-01	
9.472656e+01	4.042969e+02	-6.228750e-01	-6.236250e-01	
9.570313e+01	4.033203e+02	-6.225000e-01	-6.213750e-01	
9.667969e+01	4.023438e+02	-6.221250e-01	-6.225000e-01	
9.765625e+01	4.013672e+02	-6.217500e-01	-6.213750e-01	
9.863281e+01	4.003906e+02	-6.210000e-01	-6.232500e-01	
9.960938e+01	3.994141e+02	-6.228750e-01	-6.225000e-01	
1.005859e+02	3.984375e+02	-6.240000e-01	-6.228750e-01	
1.015625e+02	3.974609e+02	-6.236250e-01	-6.228750e-01	
1.025391e+02	3.964844e+02	-6.221250e-01	-6.225000e-01	
1.035156e+02	3.955078e+02	-6.210000e-01	-6.221250e-01	
1.044922e+02	3.945313e+02	-6.206250e-01	-6.232500e-01	
1.054688e+02	3.935547e+02	-6.221250e-01	-6.225000e-01	
1.064453e+02	3.925781e+02	-6.221250e-01	-6.221250e-01	
1.074219e+02	3.916016e+02	-6.225000e-01	-6.236250e-01	
1.083984e+02	3.906250e+02	-6.210000e-01	-6.225000e-01	
1.093750e+02	3.896484e+02	-6.221250e-01	-6.228750e-01	
1.103516e+02	3.886719e+02	-6.221250e-01	-6.217500e-01	
1.113281e+02	3.876953e+02	-6.206250e-01	-6.225000e-01	
1.123047e+02	3.867188e+02	-6.217500e-01	-6.225000e-01	
1.132813e+02	3.857422e+02	-6.217500e-01	-6.213750e-01	
1.142578e+02	3.847656e+02	-6.213750e-01	-6.206250e-01	
1.152344e+02	3.837891e+02	-6.213750e-01	-6.217500e-01	
1.162109e+02	3.828125e+02	-6.213750e-01	-6.221250e-01	
1.171875e+02	3.818359e+02	-6.232500e-01	-6.236250e-01	
1.181641e+02	3.808594e+02	-6.217500e-01	-6.210000e-01	
1.191406e+02	3.798828e+02	-6.236250e-01	-6.228750e-01	
1.201172e+02	3.789063e+02	-6.210000e-01	-6.221250e-01	
1.210938e+02	3.779297e+02	-6.228750e-01	-6.243750e-01	
1.220703e+02	3.769531e+02	-6.213750e-01	-6.232500e-01	
1.230469e+02	3.759766e+02	-6.225000e-01	-6.217500e-01	
1.240234e+02	3.750000e+02	-6.217500e-01	-6.221250e-01	
1.250000e+02	3.740234e+02	-6.202500e-01	-6.228750e-01	
1.259766e+02	3.730469e+02	-6.206250e-01	-6.225000e-01	
1.269531e+02	3.720703e+02	-6.236250e-01	-6.217500e-01	
1.279297e+02	3.710938e+02	-6.243750e-01	-6.210000e-01	
1.289063e+02	3.701172e+02	-6.251250e-01	-6.228750e-01	
1.298828e+02	3.691406e+02	-6.228750e-01	-6.228750e-01	
1.308594e+02	3.681641e+02	-6.221250e-01	-6.198750e-01	
1.318359e+02	3.671875e+02	-6.225000e-01	-6.221250e-01	
1.328125e+02	3.662109e+02	-6.228750e-01	-6.228750e-01	
1.337891e+02	3.652344e+02	-6.217500e-01	-6.225000e-01	
1.347656e+02	3.642578e+02	-6.225000e-01	-6.221250e-01	
1.357422e+02	3.632813e+02	-6.217500e-01	-6.221250e-01	
1.367188e+02	3.623047e+02	-6.210000e-01	-6.240000e-01	
1.376953e+02	3.613281e+02	-6.225000e-01	-6.228750e-01	
1.386719e+02	3.603516e+02	-6.217500e-01	-6.228750e-01	
1.396484e+02	3.593750e+02	-6.225000e-01	-6.225000e-01	
1.406250e+02	3.583984e+02	-6.236250e-01	-6.232500e-01	
1.416016e+02	3.574219e+02	-6.217500e-01	-6.243750e-01	
1.425781e+02	3.564453e+02	-6.232500e-01	-6.228750e-01	
1.435547e+02	3.554688e+02	-6.225000e-01	-6.236250e-01	
1.445313e+02	3.544922e+02	-6.217500e-01	-6.217500e-01	
1.455078e+02	3.535156e+02	-6.232500e-01	-6.228750e-01	
1.464844e+02	3.525391e+02	-6.221250e-01	-6.240000e-01	
1.474609e+02	3.515625e+02	-6.217500e-01	-6.240000e-01	
1.484375e+02	3.505859e+02	-6.213750e-01	-6.225000e-01	
1.494141e+02	3.496094e+02	-6.210000e-01	-6.236250e-01	
1.503906e+02	3.486328e+02	-6.232500e-01	-6.258750e-01	
1.513672e+02	3.476563e+02	-6.221250e-01	-6.236250e-01	
1.523438e+02	3.466797e+02	-6.228750e-01	-6.228750e-01	
1.533203e+02	3.457031e+02	-6.236250e-01	-6.213750e-01	
1.542969e+02	3.447266e+02	-6.228750e-01	-6.217500e-01	
1.552734e+02	3.437500e+02	-6.217500e-01	-6.243750e-01	
1.562500e+02	3.427734e+02	-6.217500e-01	-6.206250e-01	
1.572266e+02	3.417969e+02	-6.217500e-01	-6.221250e-01	
1.582031e+02	3.408203e+02	-6.217500e-01	-6.217500e-01	
1.591797e+02	3.398438e+02	-6.232500e-01	-6.232500e-01	
1.601563e+02	3.388672e+02	-6.221250e-01	-6.221250e-01	
1.611328e+02	3.378906e+02	-6.225000e-01	-6.228750e-01	
1.621094e+02	3.369141e+02	-6.243750e-01	-6.232500e-01	
1.630859e+02	3.359375e+02	-6.225000e-01	-6.225000e-01	
1.640625e+02	3.349609e+02	-6.228750e-01	-6.221250e-01	
1.650391e+02	3.339844e+02	-6.247500e-01	-6.221250e-01	
1.660156e+02	3.330078e+02	-6.243750e-01	-6.225000e-01	
1.669922e+02	3.320313e+02	-6.225000e-01	-6.213750e-01	
1.679688e+02	3.310547e+02	-6.221250e-01	-6.217500e-01	
1.689453e+02	3.300781e+02	-6.240000e-01	-6.221250e-01	
