Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
0.000000e+00	4.990234e+02	-4.725000e-01	-1.672500e-01	
9.765625e-01	4.980469e+02	-4.740000e-01	-1.818750e-01	
1.953125e+00	4.970703e+02	-4.725000e-01	-2.006250e-01	
2.929688e+00	4.960938e+02	-4.736250e-01	-2.167500e-01	
3.906250e+00	4.951172e+02	-4.717500e-01	-2.358750e-01	
4.882813e+00	4.941406e+02	-4.713750e-01	-2.546250e-01	
5.859375e+00	4.931641e+02	-4.713750e-01	-2.726250e-01	
6.835938e+00	4.921875e+02	-4.713750e-01	-2.925000e-01	
7.812500e+00	4.912109e+02	-4.713750e-01	-3.090000e-01	
8.789063e+00	4.902344e+02	-4.732500e-01	-3.262500e-01	
9.765625e+00	4.892578e+02	-4.706250e-01	-3.431250e-01	
1.074219e+01	4.882813e+02	-4.713750e-01	-3.618750e-01	
1.171875e+01	4.873047e+02	-4.695000e-01	-3.810000e-01	
1.269531e+01	4.863281e+02	-4.713750e-01	-3.971250e-01	
1.367188e+01	4.853516e+02	-4.698750e-01	-4.162500e-01	
1.464844e+01	4.843750e+02	-4.702500e-01	-4.342500e-01	
1.562500e+01	4.833984e+02	-4.732500e-01	-4.548750e-01	
1.660156e+01	4.824219e+02	-4.710000e-01	-4.732500e-01	
1.757813e+01	4.814453e+02	-4.721250e-01	-4.901250e-01	
1.855469e+01	4.804688e+02	-4.717500e-01	-5.081250e-01	
1.953125e+01	4.794922e+02	-4.721250e-01	-5.257500e-01	
2.050781e+01	4.785156e+02	-4.702500e-01	-5.448750e-01	
2.148438e+01	4.775391e+02	-4.725000e-01	-5.632500e-01	
2.246094e+01	4.765625e+02	-4.743750e-01	-5.812500e-01	
2.343750e+01	4.755859e+02	-4.706250e-01	-6.007500e-01	
2.441406e+01	4.746094e+02	-4.698750e-01	-6.191250e-01	
2.539063e+01	4.736328e+02	-4.743750e-01	-6.378750e-01	
2.636719e+01	4.726563e+02	-4.706250e-01	-6.577500e-01	
2.734375e+01	4.716797e+02	-4.717500e-01	-6.757500e-01	
2.832031e+01	4.707031e+02	-4.698750e-01	-6.926250e-01	
2.929688e+01	4.697266e+02	-4.710000e-01	-7.110000e-01	
3.027344e+01	4.687500e+02	-4.710000e-01	-7.282500e-01	
3.125000e+01	4.677734e+02	-4.721250e-01	-7.470000e-01	
3.222656e+01	4.667969e+02	-4.710000e-01	-7.672500e-01	
3.320313e+01	4.658203e+02	-4.736250e-01	-7.863750e-01	
3.417969e+01	4.648438e+02	-4.691250e-01	-8.055000e-01	
3.515625e+01	4.638672e+02	-4.710000e-01	-8.238750e-01	
3.613281e+01	4.628906e+02	-4.736250e-01	-8.437500e-01	
3.710938e+01	4.619141e+02	-4.698750e-01	-8.610000e-01	
3.808594e+01	4.609375e+02	-4.713750e-01	-8.782500e-01	
3.906250e+01	4.599609e+02	-4.717500e-01	-8.962500e-01	
4.003906e+01	4.589844e+02	-4.710000e-01	-9.153750e-01	
4.101563e+01	4.580078e+02	-4.710000e-01	-9.345000e-01	
4.199219e+01	4.570313e+02	-4.721250e-01	-9.528750e-01	
4.296875e+01	4.560547e+02	-4.706250e-01	-9.720000e-01	
4.394531e+01	4.550781e+02	-4.695000e-01	-9.911250e-01	
4.492188e+01	4.541016e+02	-4.717500e-01	-1.010625e+00	
4.589844e+01	4.531250e+02	-4.698750e-01	-1.030125e+00	
4.687500e+01	4.521484e+02	-4.713750e-01	-1.048500e+00	
4.785156e+01	4.511719e+02	-4.728750e-01	-1.065375e+00	
4.882813e+01	4.501953e+02	-4.751250e-01	-1.082625e+00	
4.980469e+01	4.492188e+02	-4.713750e-01	-1.100250e+00	
5.078125e+01	4.482422e+02	-4.717500e-01	-1.119750e+00	
5.175781e+01	4.472656e+02	-4.736250e-01	-1.137750e+00	
5.273438e+01	4.462891e+02	-4.732500e-01	-1.156875e+00	
5.371094e+01	4.453125e+02	-4.740000e-01	-1.176375e+00	
5.468750e+01	4.443359e+02	-4.710000e-01	-1.195125e+00	
5.566406e+01	4.433594e+02	-4.736250e-01	-1.213500e+00	
5.664063e+01	4.423828e+02	-4.721250e-01	-1.230375e+00	
5.761719e+01	4.414063e+02	-4.740000e-01	-1.248375e+00	
5.859375e+01	4.404297e+02	-4.740000e-01	-1.266000e+00	
5.957031e+01	4.394531e+02	-4.743750e-01	-1.284000e+00	
6.054688e+01	4.384766e+02	-4.740000e-01	-1.303125e+00	
6.152344e+01	4.375000e+02	-4.695000e-01	-1.320375e+00	
6.250000e+01	4.365234e+02	-4.725000e-01	-1.340250e+00	
6.347656e+01	4.355469e+02	-4.736250e-01	-1.358625e+00	
6.445313e+01	4.345703e+02	-4.710000e-01	-1.377750e+00	
6.542969e+01	4.335938e+02	-4.695000e-01	-1.397625e+00	
6.640625e+01	4.326172e+02	-4.710000e-01	-1.415625e+00	
6.738281e+01	4.316406e+02	-4.725000e-01	-1.433250e+00	
6.835938e+01	4.306641e+02	-4.691250e-01	-1.451250e+00	
6.933594e+01	4.296875e+02	-4.698750e-01	-1.468500e+00	
7.031250e+01	4.287109e+02	-4.698750e-01	-1.485750e+00	
7.128906e+01	4.277344e+02	-4.717500e-01	-1.504500e+00	
7.226563e+01	4.267578e+02	-4.732500e-01	-1.524000e+00	
7.324219e+01	4.257813e+02	-4.713750e-01	-1.543125e+00	
7.421875e+01	4.248047e+02	-4.717500e-01	-1.563750e+00	
7.519531e+01	4.238281e+02	-4.702500e-01	-1.584000e+00	
7.617188e+01	4.228516e+02	-4.706250e-01	-1.602000e+00	
7.714844e+01	4.218750e+02	-4.706250e-01	-1.620375e+00	
7.812500e+01	4.208984e+02	-4.725000e-01	-1.637250e+00	
7.910156e+01	4.199219e+02	-4.706250e-01	-1.657125e+00	
8.007813e+01	4.189453e+02	-4.728750e-01	-1.675500e+00	
8.105469e+01	4.179688e+02	-4.717500e-01	-1.693875e+00	
8.203125e+01	4.169922e+02	-4.717500e-01	-1.714500e+00	
8.300781e+01	4.160156e+02	-4.706250e-01	-1.733625e+00	
8.398438e+01	4.150391e+02	-4.740000e-01	-1.753875e+00	
8.496094e+01	4.140625e+02	-4.698750e-01	-1.774125e+00	
8.593750e+01	4.130859e+02	-4.695000e-01	-1.792125e+00	
8.691406e+01	4.121094e+02	-4.672500e-01	-1.811250e+00	
8.789063e+01	4.111328e+02	-4.695000e-01	-1.828500e+00	
8.886719e+01	4.101563e+02	-4.687500e-01	-1.846875e+00	
8.984375e+01	4.091797e+02	-4.710000e-01	-1.865625e+00	
9.082031e+01	4.082031e+02	-4.713750e-01	-1.884375e+00	
9.179688e+01	4.072266e+02	-4.725000e-01	-1.903500e+00	
