Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
0.000000e+00	4.990234e+02	-2.625000e-01	3.300101e-02	
9.765625e-01	4.980469e+02	-2.595000e-01	1.612549e-02	
1.953125e+00	4.970703e+02	-2.580000e-01	-1.875000e-03	
2.929688e+00	4.960938e+02	-2.606250e-01	-1.950000e-02	
3.906250e+00	4.951172e+02	-2.640000e-01	-3.787500e-02	
4.882813e+00	4.941406e+02	-2.625000e-01	-5.700000e-02	
5.859375e+00	4.931641e+02	-2.625000e-01	-7.462500e-02	
6.835938e+00	4.921875e+02	-2.617500e-01	-9.075000e-02	
7.812500e+00	4.912109e+02	-2.617500e-01	-1.095000e-01	
8.789063e+00	4.902344e+02	-2.617500e-01	-1.275000e-01	
9.765625e+00	4.892578e+02	-2.625000e-01	-1.466250e-01	
1.074219e+01	4.882813e+02	-2.621250e-01	-1.653750e-01	
1.171875e+01	4.873047e+02	-2.617500e-01	-1.818750e-01	
1.269531e+01	4.863281e+02	-2.610000e-01	-2.028750e-01	
1.367188e+01	4.853516e+02	-2.598750e-01	-2.220000e-01	
1.464844e+01	4.843750e+02	-2.610000e-01	-2.411250e-01	
1.562500e+01	4.833984e+02	-2.628750e-01	-2.606250e-01	
1.660156e+01	4.824219e+02	-2.595000e-01	-2.786250e-01	
1.757813e+01	4.814453e+02	-2.632500e-01	-2.992500e-01	
1.855469e+01	4.804688e+02	-2.610000e-01	-3.165000e-01	
1.953125e+01	4.794922e+02	-2.640000e-01	-3.345000e-01	
2.050781e+01	4.785156e+02	-2.595000e-01	-3.532500e-01	
2.148438e+01	4.775391e+02	-2.647500e-01	-3.720000e-01	
2.246094e+01	4.765625e+02	-2.632500e-01	-3.930000e-01	
2.343750e+01	4.755859e+02	-2.602500e-01	-4.110000e-01	
2.441406e+01	4.746094e+02	-2.598750e-01	-4.331250e-01	
2.539063e+01	4.736328e+02	-2.625000e-01	-4.511250e-01	
2.636719e+01	4.726563e+02	-2.621250e-01	-4.717500e-01	
2.734375e+01	4.716797e+02	-2.606250e-01	-4.897500e-01	
2.832031e+01	4.707031e+02	-2.595000e-01	-5.077500e-01	
2.929688e+01	4.697266e+02	-2.636250e-01	-5.257500e-01	
3.027344e+01	4.687500e+02	-2.613750e-01	-5.433750e-01	
3.125000e+01	4.677734e+02	-2.617500e-01	-5.621250e-01	
3.222656e+01	4.667969e+02	-2.587500e-01	-5.812500e-01	
3.320313e+01	4.658203e+02	-2.617500e-01	-6.011250e-01	
3.417969e+01	4.648438e+02	-2.640000e-01	-6.198750e-01	
3.515625e+01	4.638672e+02	-2.625000e-01	-6.397500e-01	
3.613281e+01	4.628906e+02	-2.617500e-01	-6.570000e-01	
3.710938e+01	4.619141e+02	-2.617500e-01	-6.753750e-01	
3.808594e+01	4.609375e+02	-2.621250e-01	-6.933750e-01	
3.906250e+01	4.599609e+02	-2.610000e-01	-7.117500e-01	
4.003906e+01	4.589844e+02	-2.628750e-01	-7.282500e-01	
4.101563e+01	4.580078e+02	-2.628750e-01	-7.466250e-01	
4.199219e+01	4.570313e+02	-2.643750e-01	-7.646250e-01	
4.296875e+01	4.560547e+02	-2.613750e-01	-7.826250e-01	
4.394531e+01	4.550781e+02	-2.643750e-01	-8.028750e-01	
4.492188e+01	4.541016e+02	-2.658750e-01	-8.212500e-01	
4.589844e+01	4.531250e+02	-2.598750e-01	-8.385000e-01	
4.687500e+01	4.521484e+02	-2.613750e-01	-8.587500e-01	
4.785156e+01	4.511719e+02	-2.625000e-01	-8.752500e-01	
4.882813e+01	4.501953e+02	-2.640000e-01	-8.932500e-01	
4.980469e+01	4.492188e+02	-2.640000e-01	-9.123750e-01	
5.078125e+01	4.482422e+02	-2.613750e-01	-9.303750e-01	
5.175781e+01	4.472656e+02	-2.651250e-01	-9.487500e-01	
5.273438e+01	4.462891e+02	-2.625000e-01	-9.675000e-01	
5.371094e+01	4.453125e+02	-2.651250e-01	-9.866250e-01	
5.468750e+01	4.443359e+02	-2.628750e-01	-1.005000e+00	
5.566406e+01	4.433594e+02	-2.640000e-01	-1.022250e+00	
5.664063e+01	4.423828e+02	-2.640000e-01	-1.040625e+00	
5.761719e+01	4.414063e+02	-2.621250e-01	-1.061625e+00	
5.859375e+01	4.404297e+02	-2.640000e-01	-1.083750e+00	
5.957031e+01	4.394531e+02	-2.632500e-01	-1.102500e+00	
6.054688e+01	4.384766e+02	-2.587500e-01	-1.123500e+00	
6.152344e+01	4.375000e+02	-2.625000e-01	-1.144125e+00	
6.250000e+01	4.365234e+02	-2.655000e-01	-1.163250e+00	
6.347656e+01	4.355469e+02	-2.621250e-01	-1.182000e+00	
6.445313e+01	4.345703e+02	-2.628750e-01	-1.198875e+00	
6.542969e+01	4.335938e+02	-2.595000e-01	-1.218375e+00	
6.640625e+01	4.326172e+02	-2.613750e-01	-1.238625e+00	
6.738281e+01	4.316406e+02	-2.613750e-01	-1.257375e+00	
6.835938e+01	4.306641e+02	-2.636250e-01	-1.278375e+00	
6.933594e+01	4.296875e+02	-2.640000e-01	-1.298625e+00	
7.031250e+01	4.287109e+02	-2.621250e-01	-1.319250e+00	
7.128906e+01	4.277344e+02	-2.617500e-01	-1.337625e+00	
7.226563e+01	4.267578e+02	-2.621250e-01	-1.357125e+00	
7.324219e+01	4.257813e+02	-2.636250e-01	-1.376625e+00	
7.421875e+01	4.248047e+02	-2.640000e-01	-1.395750e+00	
7.519531e+01	4.238281e+02	-2.628750e-01	-1.416000e+00	
7.617188e+01	4.228516e+02	-2.617500e-01	-1.435125e+00	
7.714844e+01	4.218750e+02	-2.613750e-01	-1.454250e+00	
7.812500e+01	4.208984e+02	-2.640000e-01	-1.474125e+00	
7.910156e+01	4.199219e+02	-2.598750e-01	-1.494000e+00	
8.007813e+01	4.189453e+02	-2.628750e-01	-1.514250e+00	
8.105469e+01	4.179688e+02	-2.621250e-01	-1.533000e+00	
8.203125e+01	4.169922e+02	-2.598750e-01	-1.551750e+00	
8.300781e+01	4.160156e+02	-2.636250e-01	-1.572375e+00	
8.398438e+01	4.150391e+02	-2.677500e-01	-1.590375e+00	
8.496094e+01	4.140625e+02	-2.610000e-01	-1.609875e+00	
8.593750e+01	4.130859e+02	-2.621250e-01	-1.629000e+00	
8.691406e+01	4.121094e+02	-2.613750e-01	-1.648125e+00	
8.789063e+01	4.111328e+02	-2.651250e-01	-1.666875e+00	
8.886719e+01	4.101563e+02	-2.647500e-01	-1.686375e+00	
8.984375e+01	4.091797e+02	-2.625000e-01	-1.705125e+00	
9.082031e+01	4.082031e+02	-2.632500e-01	-1.722375e+00	
9.179688e+01	4.072266e+02	-2.625000e-01	-1.741500e+00	
9.277344e+01	4.062500e+02	-2.625000e-01	-1.760250e+00	
9.375000e+01	4.052734e+02	-2.628750e-01	-1.778250e+00	
9.472656e+01	4.042969e+02	-2.598750e-01	-1.798125e+00	
9.570313e+01	4.033203e+02	-2.606250e-01	-1.816875e+00	
9.667969e+01	4.023438e+02	-2.651250e-01	-1.836000e+00	
9.765625e+01	4.013672e+02	-2.621250e-01	-1.853625e+00	
9.863281e+01	4.003906e+02	-2.628750e-01	-1.870875e+00	
9.960938e+01	3.994141e+02	-2.628750e-01	-1.891125e+00	
1.005859e+02	3.984375e+02	-2.655000e-01	-1.908375e+00	
1.015625e+02	3.974609e+02	-2.621250e-01	-1.929375e+00	
1.025391e+02	3.964844e+02	-2.606250e-01	-1.950000e+00	
1.035156e+02	3.955078e+02	-2.636250e-01	-1.968750e+00	
1.044922e+02	3.945313e+02	-2.628750e-01	-1.988625e+00	
1.054688e+02	3.935547e+02	-2.643750e-01	-2.006625e+00	
1.064453e+02	3.925781e+02	-2.625000e-01	-2.024625e+00	
1.074219e+02	3.916016e+02	-2.625000e-01	-2.043375e+00	
1.083984e+02	3.906250e+02	-2.628750e-01	-2.063250e+00	
1.093750e+02	3.896484e+02	-2.613750e-01	-2.079750e+00	
1.103516e+02	3.886719e+02	-2.613750e-01	-2.098500e+00	
1.113281e+02	3.876953e+02	-2.621250e-01	-2.118750e+00	
1.123047e+02	3.867188e+02	-2.621250e-01	-2.137875e+00	
1.132813e+02	3.857422e+02	-2.628750e-01	-2.157750e+00	
1.142578e+02	3.847656e+02	-2.636250e-01	-2.176875e+00	
1.152344e+02	3.837891e+02	-2.621250e-01	-2.196375e+00	
1.162109e+02	3.828125e+02	-2.617500e-01	-2.215500e+00	
1.171875e+02	3.818359e+02	-2.610000e-01	-2.233875e+00	
1.181641e+02	3.808594e+02	-2.632500e-01	-2.252250e+00	
1.191406e+02	3.798828e+02	-2.610000e-01	-2.268375e+00	
1.201172e+02	3.789063e+02	-2.643750e-01	-2.288625e+00	
1.210938e+02	3.779297e+02	-2.621250e-01	-2.307375e+00	
1.220703e+02	3.769531e+02	-2.640000e-01	-2.326125e+00	
1.230469e+02	3.759766e+02	-2.628750e-01	-2.347500e+00	
1.240234e+02	3.750000e+02	-2.625000e-01	-2.364375e+00	
1.250000e+02	3.740234e+02	-2.617500e-01	-2.384250e+00	
1.259766e+02	3.730469e+02	-2.617500e-01	-2.403750e+00	
1.269531e+02	3.720703e+02	-2.636250e-01	-2.422125e+00	
1.279297e+02	3.710938e+02	-2.617500e-01	-2.441625e+00	
1.289063e+02	3.701172e+02	-2.602500e-01	-2.459625e+00	
1.298828e+02	3.691406e+02	-2.628750e-01	-2.480250e+00	
1.308594e+02	3.681641e+02	-2.621250e-01	-2.498625e+00	
1.318359e+02	3.671875e+02	-2.580000e-01	-2.515875e+00	
1.328125e+02	3.662109e+02	-2.613750e-01	-2.536875e+00	
1.337891e+02	3.652344e+02	-2.636250e-01	-2.553000e+00	
1.347656e+02	3.642578e+02	-2.613750e-01	-2.573250e+00	
1.357422e+02	3.632813e+02	-2.621250e-01	-2.590875e+00	
