Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
6.835938e+01	4.306641e+02	-3.870000e-01	-1.335000e+00	
6.933594e+01	4.296875e+02	-3.892500e-01	-1.352250e+00	
7.031250e+01	4.287109e+02	-3.881250e-01	-1.363125e+00	
7.128906e+01	4.277344e+02	-3.870000e-01	-1.375125e+00	
7.226563e+01	4.267578e+02	-3.881250e-01	-5.212500e-01	
7.324219e+01	4.257813e+02	-3.873750e-01	-3.873750e-01	
7.421875e+01	4.248047e+02	-3.862500e-01	-3.881250e-01	
7.519531e+01	4.238281e+02	-3.885000e-01	-3.918750e-01	
7.617188e+01	4.228516e+02	-3.855000e-01	-3.888750e-01	
7.714844e+01	4.218750e+02	-3.900000e-01	-3.911250e-01	
7.812500e+01	4.208984e+02	-3.888750e-01	-3.903750e-01	
7.910156e+01	4.199219e+02	-3.866250e-01	-3.911250e-01	
8.007813e+01	4.189453e+02	-3.900000e-01	-3.948750e-01	
8.105469e+01	4.179688e+02	-3.900000e-01	-3.907500e-01	
8.203125e+01	4.169922e+02	-3.855000e-01	-3.945000e-01	
8.300781e+01	4.160156e+02	-3.870000e-01	-3.881250e-01	
8.398438e+01	4.150391e+02	-3.832500e-01	-3.900000e-01	
8.496094e+01	4.140625e+02	-3.881250e-01	-3.907500e-01	
8.593750e+01	4.130859e+02	-3.896250e-01	-3.930000e-01	
8.691406e+01	4.121094e+02	-3.866250e-01	-3.896250e-01	
8.789063e+01	4.111328e+02	-3.873750e-01	-3.911250e-01	
8.886719e+01	4.101563e+02	-3.858750e-01	-3.926250e-01	
8.984375e+01	4.091797e+02	-3.873750e-01	-3.888750e-01	
9.082031e+01	4.082031e+02	-3.888750e-01	-3.915000e-01	
9.179688e+01	4.072266e+02	-3.862500e-01	-3.892500e-01	
9.277344e+01	4.062500e+02	-3.836250e-01	-3.892500e-01	
9.375000e+01	4.052734e+02	-3.862500e-01	-3.926250e-01	
9.472656e+01	4.042969e+02	-3.873750e-01	-3.885000e-01	
9.570313e+01	4.033203e+02	-3.870000e-01	-3.930000e-01	
9.667969e+01	4.023438e+02	-3.862500e-01	-3.915000e-01	
9.765625e+01	4.013672e+02	-3.855000e-01	-3.892500e-01	
9.863281e+01	4.003906e+02	-3.881250e-01	-3.911250e-01	
9.960938e+01	3.994141e+02	-3.843750e-01	-3.881250e-01	
1.005859e+02	3.984375e+02	-3.855000e-01	-3.888750e-01	
1.015625e+02	3.974609e+02	-3.862500e-01	-3.930000e-01	
1.025391e+02	3.964844e+02	-3.858750e-01	-3.933750e-01	
1.035156e+02	3.955078e+02	-3.877500e-01	-3.892500e-01	
1.044922e+02	3.945313e+02	-3.870000e-01	-3.907500e-01	
1.054688e+02	3.935547e+02	-3.873750e-01	-3.881250e-01	
1.064453e+02	3.925781e+02	-3.885000e-01	-3.892500e-01	
1.074219e+02	3.916016e+02	-3.892500e-01	-3.900000e-01	
1.083984e+02	3.906250e+02	-3.851250e-01	-3.900000e-01	
1.093750e+02	3.896484e+02	-3.843750e-01	-3.915000e-01	
1.103516e+02	3.886719e+02	-3.855000e-01	-3.911250e-01	
1.113281e+02	3.876953e+02	-3.885000e-01	-3.896250e-01	
1.123047e+02	3.867188e+02	-3.866250e-01	-3.896250e-01	
1.132813e+02	3.857422e+02	-3.873750e-01	-3.903750e-01	
1.142578e+02	3.847656e+02	-3.851250e-01	-3.907500e-01	
1.152344e+02	3.837891e+02	-3.836250e-01	-3.907500e-01	
1.162109e+02	3.828125e+02	-3.832500e-01	-3.892500e-01	
1.171875e+02	3.818359e+02	-3.858750e-01	-3.922500e-01	
1.181641e+02	3.808594e+02	-3.843750e-01	-3.907500e-01	
1.191406e+02	3.798828e+02	-3.840000e-01	-3.900000e-01	
1.201172e+02	3.789063e+02	-3.888750e-01	-3.900000e-01	
1.210938e+02	3.779297e+02	-3.892500e-01	-3.930000e-01	
1.220703e+02	3.769531e+02	-3.858750e-01	-3.933750e-01	
1.230469e+02	3.759766e+02	-3.817500e-01	-3.900000e-01	
1.240234e+02	3.750000e+02	-3.858750e-01	-3.888750e-01	
1.250000e+02	3.740234e+02	-3.862500e-01	-3.907500e-01	
1.259766e+02	3.730469e+02	-3.840000e-01	-3.900000e-01	
1.269531e+02	3.720703e+02	-3.843750e-01	-3.911250e-01	
1.279297e+02	3.710938e+02	-3.847500e-01	-3.907500e-01	
1.289063e+02	3.701172e+02	-3.855000e-01	-3.907500e-01	
1.298828e+02	3.691406e+02	-3.851250e-01	-3.911250e-01	
1.308594e+02	3.681641e+02	-3.858750e-01	-3.918750e-01	
1.318359e+02	3.671875e+02	-3.896250e-01	-3.907500e-01	
1.328125e+02	3.662109e+02	-3.888750e-01	-3.903750e-01	
1.337891e+02	3.652344e+02	-3.821250e-01	-3.933750e-01	
1.347656e+02	3.642578e+02	-3.888750e-01	-3.941250e-01	
1.357422e+02	3.632813e+02	-3.866250e-01	-3.903750e-01	
1.367188e+02	3.623047e+02	-3.866250e-01	-3.892500e-01	
1.376953e+02	3.613281e+02	-3.858750e-01	-3.885000e-01	
1.386719e+02	3.603516e+02	-3.873750e-01	-3.900000e-01	
1.396484e+02	3.593750e+02	-3.870000e-01	-3.926250e-01	
1.406250e+02	3.583984e+02	-3.836250e-01	-3.907500e-01	
1.416016e+02	3.574219e+02	-3.888750e-01	-3.896250e-01	
1.425781e+02	3.564453e+02	-3.840000e-01	-3.896250e-01	
1.435547e+02	3.554688e+02	-3.840000e-01	-3.937500e-01	
1.445313e+02	3.544922e+02	-3.870000e-01	-3.907500e-01	
1.455078e+02	3.535156e+02	-3.851250e-01	-3.911250e-01	
1.464844e+02	3.525391e+02	-3.862500e-01	-3.933750e-01	
1.474609e+02	3.515625e+02	-3.862500e-01	-3.918750e-01	
1.484375e+02	3.505859e+02	-3.828750e-01	-3.915000e-01	
1.494141e+02	3.496094e+02	-3.866250e-01	-3.930000e-01	
1.503906e+02	3.486328e+02	-3.858750e-01	-3.930000e-01	
1.513672e+02	3.476563e+02	-3.855000e-01	-3.915000e-01	
1.523438e+02	3.466797e+02	-3.862500e-01	-3.918750e-01	
1.533203e+02	3.457031e+02	-3.862500e-01	-3.907500e-01	
1.542969e+02	3.447266e+02	-3.862500e-01	-3.922500e-01	
1.552734e+02	3.437500e+02	-3.843750e-01	-3.926250e-01	
1.562500e+02	3.427734e+02	-3.821250e-01	-3.907500e-01	
1.572266e+02	3.417969e+02	-3.858750e-01	-3.907500e-01	
1.582031e+02	3.408203e+02	-3.881250e-01	-3.907500e-01	
1.591797e+02	3.398438e+02	-3.855000e-01	-3.918750e-01	
1.601563e+02	3.388672e+02	-3.855000e-01	-3.926250e-01	
1.611328e+02	3.378906e+02	-3.888750e-01	-3.911250e-01	
1.621094e+02	3.369141e+02	-3.881250e-01	-3.881250e-01	
1.630859e+02	3.359375e+02	-3.862500e-01	-3.926250e-01	
1.640625e+02	3.349609e+02	-3.855000e-01	-3.926250e-01	
1.650391e+02	3.339844e+02	-3.877500e-01	-3.945000e-01	
1.660156e+02	3.330078e+02	-3.885000e-01	-3.915000e-01	
1.669922e+02	3.320313e+02	-3.870000e-01	-3.933750e-01	
1.679688e+02	3.310547e+02	-3.862500e-01	-3.930000e-01	
1.689453e+02	3.300781e+02	-3.866250e-01	-3.922500e-01	
1.699219e+02	3.291016e+02	-3.877500e-01	-3.900000e-01	
1.708984e+02	3.281250e+02	-3.888750e-01	-3.952500e-01	
