Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
0.000000e+00	4.990234e+02	-4.245000e-01	-1.230000e-01	
9.765625e-01	4.980469e+02	-4.245000e-01	-1.365000e-01	
1.953125e+00	4.970703e+02	-4.260000e-01	-1.567500e-01	
2.929688e+00	4.960938e+02	-4.230000e-01	-1.736250e-01	
3.906250e+00	4.951172e+02	-4.233750e-01	-1.908750e-01	
4.882813e+00	4.941406e+02	-4.256250e-01	-2.107500e-01	
5.859375e+00	4.931641e+02	-4.252500e-01	-2.265000e-01	
6.835938e+00	4.921875e+02	-4.245000e-01	-2.456250e-01	
7.812500e+00	4.912109e+02	-4.233750e-01	-2.613750e-01	
8.789063e+00	4.902344e+02	-4.241250e-01	-2.793750e-01	
9.765625e+00	4.892578e+02	-4.252500e-01	-2.985000e-01	
1.074219e+01	4.882813e+02	-4.267500e-01	-3.165000e-01	
1.171875e+01	4.873047e+02	-4.245000e-01	-3.375000e-01	
1.269531e+01	4.863281e+02	-4.218750e-01	-3.551250e-01	
1.367188e+01	4.853516e+02	-4.245000e-01	-3.761250e-01	
1.464844e+01	4.843750e+02	-4.245000e-01	-3.956250e-01	
1.562500e+01	4.833984e+02	-4.263750e-01	-4.136250e-01	
1.660156e+01	4.824219e+02	-4.245000e-01	-4.342500e-01	
1.757813e+01	4.814453e+02	-4.260000e-01	-4.515000e-01	
1.855469e+01	4.804688e+02	-4.260000e-01	-4.713750e-01	
1.953125e+01	4.794922e+02	-4.271250e-01	-4.905000e-01	
2.050781e+01	4.785156e+02	-4.252500e-01	-5.088750e-01	
2.148438e+01	4.775391e+02	-4.245000e-01	-5.310000e-01	
2.246094e+01	4.765625e+02	-4.248750e-01	-5.482500e-01	
2.343750e+01	4.755859e+02	-4.248750e-01	-5.692500e-01	
2.441406e+01	4.746094e+02	-4.245000e-01	-5.872500e-01	
2.539063e+01	4.736328e+02	-4.237500e-01	-6.041250e-01	
2.636719e+01	4.726563e+02	-4.275000e-01	-6.247500e-01	
2.734375e+01	4.716797e+02	-4.260000e-01	-6.408750e-01	
2.832031e+01	4.707031e+02	-4.256250e-01	-6.603750e-01	
2.929688e+01	4.697266e+02	-4.233750e-01	-6.787500e-01	
3.027344e+01	4.687500e+02	-4.248750e-01	-6.975000e-01	
3.125000e+01	4.677734e+02	-4.260000e-01	-7.185000e-01	
3.222656e+01	4.667969e+02	-4.248750e-01	-7.361250e-01	
3.320313e+01	4.658203e+02	-4.263750e-01	-7.567500e-01	
3.417969e+01	4.648438e+02	-4.245000e-01	-7.728750e-01	
3.515625e+01	4.638672e+02	-4.252500e-01	-7.897500e-01	
3.613281e+01	4.628906e+02	-4.275000e-01	-8.077500e-01	
3.710938e+01	4.619141e+02	-4.252500e-01	-8.246250e-01	
3.808594e+01	4.609375e+02	-4.256250e-01	-8.452500e-01	
3.906250e+01	4.599609e+02	-4.245000e-01	-8.610000e-01	
4.003906e+01	4.589844e+02	-4.260000e-01	-8.801250e-01	
4.101563e+01	4.580078e+02	-4.271250e-01	-8.985000e-01	
4.199219e+01	4.570313e+02	-4.275000e-01	-9.153750e-01	
4.296875e+01	4.560547e+02	-4.260000e-01	-9.348750e-01	
4.394531e+01	4.550781e+02	-4.241250e-01	-9.513750e-01	
4.492188e+01	4.541016e+02	-4.233750e-01	-9.693750e-01	
4.589844e+01	4.531250e+02	-4.233750e-01	-9.873750e-01	
4.687500e+01	4.521484e+02	-4.263750e-01	-1.004625e+00	
4.785156e+01	4.511719e+02	-4.226250e-01	-1.023750e+00	
4.882813e+01	4.501953e+02	-4.256250e-01	-1.039125e+00	
4.980469e+01	4.492188e+02	-4.248750e-01	-1.057875e+00	
5.078125e+01	4.482422e+02	-4.263750e-01	-1.077375e+00	
5.175781e+01	4.472656e+02	-4.248750e-01	-1.096875e+00	
5.273438e+01	4.462891e+02	-4.233750e-01	-1.116000e+00	
5.371094e+01	4.453125e+02	-4.248750e-01	-1.132500e+00	
5.468750e+01	4.443359e+02	-4.282500e-01	-1.152750e+00	
5.566406e+01	4.433594e+02	-4.275000e-01	-1.169625e+00	
5.664063e+01	4.423828e+02	-4.237500e-01	-1.188000e+00	
5.761719e+01	4.414063e+02	-4.260000e-01	-1.207125e+00	
5.859375e+01	4.404297e+02	-4.260000e-01	-1.225125e+00	
5.957031e+01	4.394531e+02	-4.271250e-01	-1.245000e+00	
6.054688e+01	4.384766e+02	-4.252500e-01	-1.262625e+00	
6.152344e+01	4.375000e+02	-4.241250e-01	-1.281750e+00	
6.250000e+01	4.365234e+02	-4.248750e-01	-1.301625e+00	
6.347656e+01	4.355469e+02	-4.248750e-01	-1.320750e+00	
6.445313e+01	4.345703e+02	-4.241250e-01	-1.339125e+00	
6.542969e+01	4.335938e+02	-4.237500e-01	-1.357125e+00	
6.640625e+01	4.326172e+02	-4.260000e-01	-1.376625e+00	
6.738281e+01	4.316406e+02	-4.233750e-01	-1.396125e+00	
6.835938e+01	4.306641e+02	-4.267500e-01	-1.415625e+00	
6.933594e+01	4.296875e+02	-4.256250e-01	-1.436250e+00	
7.031250e+01	4.287109e+02	-4.245000e-01	-1.456125e+00	
7.128906e+01	4.277344e+02	-4.241250e-01	-1.475625e+00	
7.226563e+01	4.267578e+02	-4.252500e-01	-1.495125e+00	
7.324219e+01	4.257813e+02	-4.260000e-01	-1.513125e+00	
7.421875e+01	4.248047e+02	-4.245000e-01	-1.532250e+00	
7.519531e+01	4.238281e+02	-4.252500e-01	-1.549125e+00	
7.617188e+01	4.228516e+02	-4.237500e-01	-1.570500e+00	
7.714844e+01	4.218750e+02	-4.278750e-01	-1.588875e+00	
7.812500e+01	4.208984e+02	-4.233750e-01	-1.606500e+00	
7.910156e+01	4.199219e+02	-4.245000e-01	-1.625625e+00	
8.007813e+01	4.189453e+02	-4.245000e-01	-1.644000e+00	
