Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
0.000000e+00	4.990234e+02	-3.907500e-01	-8.887500e-02	
9.765625e-01	4.980469e+02	-3.903750e-01	-1.076250e-01	
1.953125e+00	4.970703e+02	-3.896250e-01	-1.263750e-01	
2.929688e+00	4.960938e+02	-3.900000e-01	-1.425000e-01	
3.906250e+00	4.951172e+02	-3.915000e-01	-1.627500e-01	
4.882813e+00	4.941406e+02	-3.900000e-01	-1.815000e-01	
5.859375e+00	4.931641e+02	-3.866250e-01	-1.995000e-01	
6.835938e+00	4.921875e+02	-3.892500e-01	-2.186250e-01	
7.812500e+00	4.912109e+02	-3.900000e-01	-2.362500e-01	
8.789063e+00	4.902344e+02	-3.892500e-01	-2.546250e-01	
9.765625e+00	4.892578e+02	-3.896250e-01	-2.718750e-01	
1.074219e+01	4.882813e+02	-3.903750e-01	-2.902500e-01	
1.171875e+01	4.873047e+02	-3.881250e-01	-3.075000e-01	
1.269531e+01	4.863281e+02	-3.911250e-01	-3.251250e-01	
1.367188e+01	4.853516e+02	-3.888750e-01	-3.457500e-01	
1.464844e+01	4.843750e+02	-3.888750e-01	-3.626250e-01	
1.562500e+01	4.833984e+02	-3.885000e-01	-3.821250e-01	
1.660156e+01	4.824219e+02	-3.892500e-01	-4.005000e-01	
1.757813e+01	4.814453e+02	-3.896250e-01	-4.188750e-01	
1.855469e+01	4.804688e+02	-3.881250e-01	-4.368750e-01	
1.953125e+01	4.794922e+02	-3.911250e-01	-4.548750e-01	
2.050781e+01	4.785156e+02	-3.933750e-01	-4.710000e-01	
2.148438e+01	4.775391e+02	-3.907500e-01	-4.893750e-01	
2.246094e+01	4.765625e+02	-3.877500e-01	-5.088750e-01	
2.343750e+01	4.755859e+02	-3.888750e-01	-5.257500e-01	
2.441406e+01	4.746094e+02	-3.918750e-01	-5.445000e-01	
2.539063e+01	4.736328e+02	-3.892500e-01	-5.640000e-01	
2.636719e+01	4.726563e+02	-3.907500e-01	-5.820000e-01	
2.734375e+01	4.716797e+02	-3.896250e-01	-6.003750e-01	
2.832031e+01	4.707031e+02	-3.937500e-01	-6.187500e-01	
2.929688e+01	4.697266e+02	-3.922500e-01	-6.378750e-01	
3.027344e+01	4.687500e+02	-3.903750e-01	-6.566250e-01	
3.125000e+01	4.677734e+02	-3.892500e-01	-6.746250e-01	
3.222656e+01	4.667969e+02	-3.892500e-01	-6.933750e-01	
3.320313e+01	4.658203e+02	-3.922500e-01	-7.117500e-01	
3.417969e+01	4.648438e+02	-3.903750e-01	-7.308750e-01	
3.515625e+01	4.638672e+02	-3.900000e-01	-7.511250e-01	
3.613281e+01	4.628906e+02	-3.907500e-01	-7.683750e-01	
3.710938e+01	4.619141e+02	-3.877500e-01	-7.875000e-01	
3.808594e+01	4.609375e+02	-3.885000e-01	-8.066250e-01	
3.906250e+01	4.599609e+02	-3.903750e-01	-8.253750e-01	
4.003906e+01	4.589844e+02	-3.851250e-01	-8.430000e-01	
4.101563e+01	4.580078e+02	-3.885000e-01	-8.617500e-01	
4.199219e+01	4.570313e+02	-3.896250e-01	-8.831250e-01	
4.296875e+01	4.560547e+02	-3.881250e-01	-9.018750e-01	
4.394531e+01	4.550781e+02	-3.877500e-01	-9.206250e-01	
4.492188e+01	4.541016e+02	-3.892500e-01	-9.393750e-01	
4.589844e+01	4.531250e+02	-3.900000e-01	-9.577500e-01	
4.687500e+01	4.521484e+02	-3.907500e-01	-9.757500e-01	
4.785156e+01	4.511719e+02	-3.877500e-01	-9.945000e-01	
4.882813e+01	4.501953e+02	-3.877500e-01	-1.012125e+00	
4.980469e+01	4.492188e+02	-3.873750e-01	-1.032000e+00	
5.078125e+01	4.482422e+02	-3.885000e-01	-1.052250e+00	
5.175781e+01	4.472656e+02	-3.873750e-01	-1.071750e+00	
5.273438e+01	4.462891e+02	-3.862500e-01	-1.089750e+00	
5.371094e+01	4.453125e+02	-3.851250e-01	-1.106625e+00	
5.468750e+01	4.443359e+02	-3.892500e-01	-1.123875e+00	
5.566406e+01	4.433594e+02	-3.873750e-01	-1.142625e+00	
5.664063e+01	4.423828e+02	-3.907500e-01	-1.161000e+00	
5.761719e+01	4.414063e+02	-3.862500e-01	-1.179750e+00	
5.859375e+01	4.404297e+02	-3.881250e-01	-1.198500e+00	
5.957031e+01	4.394531e+02	-3.877500e-01	-1.216500e+00	
6.054688e+01	4.384766e+02	-3.851250e-01	-1.234875e+00	
6.152344e+01	4.375000e+02	-3.862500e-01	-1.253250e+00	
6.250000e+01	4.365234e+02	-3.858750e-01	-1.272000e+00	
6.347656e+01	4.355469e+02	-3.847500e-01	-1.288875e+00	
6.445313e+01	4.345703e+02	-3.847500e-01	-1.308000e+00	
6.542969e+01	4.335938e+02	-3.858750e-01	-1.326375e+00	
6.640625e+01	4.326172e+02	-3.847500e-01	-1.345125e+00	
6.738281e+01	4.316406e+02	-3.873750e-01	-1.363125e+00	
6.835938e+01	4.306641e+02	-3.873750e-01	-1.380750e+00	
6.933594e+01	4.296875e+02	-3.851250e-01	-1.400625e+00	
7.031250e+01	4.287109e+02	-3.858750e-01	-1.418250e+00	
7.128906e+01	4.277344e+02	-3.873750e-01	-1.438500e+00	
7.226563e+01	4.267578e+02	-3.888750e-01	-1.457625e+00	
