Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
4.980469e+01	4.492188e+02	-9.037500e-02	-8.887500e-02	
5.078125e+01	4.482422e+02	-8.925000e-02	-8.962500e-02	
5.175781e+01	4.472656e+02	-9.112500e-02	-8.587500e-02	
5.273438e+01	4.462891e+02	-8.962500e-02	-8.850000e-02	
5.371094e+01	4.453125e+02	-8.925000e-02	-8.737500e-02	
5.468750e+01	4.443359e+02	-8.812500e-02	-8.850000e-02	
5.566406e+01	4.433594e+02	-8.812500e-02	-8.925000e-02	
5.664063e+01	4.423828e+02	-8.887500e-02	-8.925000e-02	
5.761719e+01	4.414063e+02	-8.812500e-02	-8.925000e-02	
5.859375e+01	4.404297e+02	-8.812500e-02	-9.112500e-02	
5.957031e+01	4.394531e+02	-8.700000e-02	-8.850000e-02	
6.054688e+01	4.384766e+02	-9.075000e-02	-8.887500e-02	
6.152344e+01	4.375000e+02	-8.812500e-02	-8.850000e-02	
6.250000e+01	4.365234e+02	-8.850000e-02	-8.625000e-02	
6.347656e+01	4.355469e+02	-8.737500e-02	-8.737500e-02	
6.445313e+01	4.345703e+02	-8.737500e-02	-8.962500e-02	
6.542969e+01	4.335938e+02	-8.887500e-02	-8.700000e-02	
6.640625e+01	4.326172e+02	-8.775000e-02	-8.925000e-02	
6.738281e+01	4.316406e+02	-9.000000e-02	-8.850000e-02	
6.835938e+01	4.306641e+02	-8.775000e-02	-8.925000e-02	
6.933594e+01	4.296875e+02	-9.000000e-02	-8.737500e-02	
7.031250e+01	4.287109e+02	-8.775000e-02	-8.925000e-02	
7.128906e+01	4.277344e+02	-8.925000e-02	-9.037500e-02	
7.226563e+01	4.267578e+02	-8.887500e-02	-9.037500e-02	
7.324219e+01	4.257813e+02	-8.925000e-02	-8.812500e-02	
7.421875e+01	4.248047e+02	-9.000000e-02	-8.887500e-02	
7.519531e+01	4.238281e+02	-8.925000e-02	-9.000000e-02	
7.617188e+01	4.228516e+02	-8.925000e-02	-8.962500e-02	
7.714844e+01	4.218750e+02	-8.850000e-02	-9.037500e-02	
7.812500e+01	4.208984e+02	-8.925000e-02	-8.700000e-02	
7.910156e+01	4.199219e+02	-8.962500e-02	-8.850000e-02	
8.007813e+01	4.189453e+02	-8.775000e-02	-8.587500e-02	
8.105469e+01	4.179688e+02	-8.925000e-02	-8.850000e-02	
8.203125e+01	4.169922e+02	-8.775000e-02	-8.925000e-02	
8.300781e+01	4.160156e+02	-8.775000e-02	-9.037500e-02	
8.398438e+01	4.150391e+02	-8.925000e-02	-8.812500e-02	
8.496094e+01	4.140625e+02	-8.925000e-02	-8.850000e-02	
8.593750e+01	4.130859e+02	-8.775000e-02	-8.962500e-02	
8.691406e+01	4.121094e+02	-8.925000e-02	-8.812500e-02	
8.789063e+01	4.111328e+02	-8.812500e-02	-8.925000e-02	
8.886719e+01	4.101563e+02	-8.700000e-02	-8.887500e-02	
8.984375e+01	4.091797e+02	-8.700000e-02	-8.925000e-02	
9.082031e+01	4.082031e+02	-8.925000e-02	-8.850000e-02	
9.179688e+01	4.072266e+02	-8.850000e-02	-8.887500e-02	
9.277344e+01	4.062500e+02	-8.925000e-02	-8.775000e-02	
9.375000e+01	4.052734e+02	-8.812500e-02	-8.775000e-02	
9.472656e+01	4.042969e+02	-8.812500e-02	-8.812500e-02	
9.570313e+01	4.033203e+02	-8.850000e-02	-8.775000e-02	
9.667969e+01	4.023438e+02	-8.812500e-02	-8.850000e-02	
9.765625e+01	4.013672e+02	-8.925000e-02	-9.000000e-02	
9.863281e+01	4.003906e+02	-8.887500e-02	-9.000000e-02	
9.960938e+01	3.994141e+02	-8.737500e-02	-8.737500e-02	
1.005859e+02	3.984375e+02	-8.812500e-02	-8.737500e-02	
1.015625e+02	3.974609e+02	-8.775000e-02	-9.000000e-02	
1.025391e+02	3.964844e+02	-8.775000e-02	-8.925000e-02	
1.035156e+02	3.955078e+02	-8.775000e-02	-8.962500e-02	
1.044922e+02	3.945313e+02	-8.925000e-02	-8.775000e-02	
1.054688e+02	3.935547e+02	-8.775000e-02	-8.812500e-02	
1.064453e+02	3.925781e+02	-8.700000e-02	-8.812500e-02	
1.074219e+02	3.916016e+02	-8.737500e-02	-8.925000e-02	
1.083984e+02	3.906250e+02	-8.775000e-02	-9.000000e-02	
1.093750e+02	3.896484e+02	-8.925000e-02	-9.000000e-02	
1.103516e+02	3.886719e+02	-8.587500e-02	-8.625000e-02	
