approach_displacement	approach_deflection	retract_displacement	retract_deflection
37.15741	-8.625038	37.28467	-6.7478229999999995
37.23854	-8.594597	37.3658	-6.8695889999999995
37.31968	-8.564155	37.44693	-6.90003
37.40081	-8.594597	37.52806	-6.9609119999999995
37.48194	-8.614891	37.60919	-6.9609119999999995
37.56307	-8.736656	37.69032	-7.011648
37.6442	-8.787391	37.77145	-7.11312
37.72533	-8.625038	37.85258	-7.174002000000001
37.80646	-8.675773	37.93372	-7.214589999999999
37.88759	-8.888862	38.01485	-7.184149
37.96872	-8.868568	38.09598	-7.102971999999999
38.04985	-8.949745	38.17711	-7.133414
38.13099	-9.041069	38.25824	-7.143561
38.21212	-8.949745	38.33937	-7.234885
38.29325	-9.010627	38.4205	-7.326208
38.37438	-9.162834	38.50163	-7.3160609999999995
38.45551	-9.14254	38.58276	-7.366797
38.53664	-9.183128	38.66389	-7.4073850000000006
38.61777	-9.07151	38.74503	-7.4073850000000006
38.6989	-9.183128	38.82616	-7.508856
38.780029999999996	-9.223716	38.90729	-7.590033
38.86116	-9.274452	38.98842	-7.559592
38.9423	-9.3048940000000009	39.06955	-7.610327
39.02343	-9.406365	39.15068	-7.7523860000000004
39.10456	-9.386071	39.23181	-7.792975
39.18569	-9.406365	39.31294	-7.843711
39.26682	-9.467247	39.39407	-7.864005
39.34795	-9.507836	39.4752	-7.945182
39.42908	-9.599160000000001	39.55634	-7.9045939999999995
39.51021	-9.568718	39.63747	-7.792975
39.59134	-9.568718	39.7186	-7.721945
39.67247	-9.517983000000001	39.79973	-7.833564
39.7536	-9.731072000000001	39.88086	-7.81327
39.83474	-9.751366	39.96199	-7.721945
39.91587	-9.761513	40.04312	-7.7625340000000005
39.997	-9.680336	40.12425	-7.9045939999999995
40.07813	-9.781807	40.20538	-7.955329000000001
40.15926	-9.832543	40.28651	-7.8842989999999995
40.24039	-9.84269	40.36765	-7.955329000000001
40.32152	-9.761513	40.44878	-7.98577
40.40265	-9.862984	40.52991	-8.087241
40.48378	-10.07607	40.61104	-8.178564999999999
40.56491	-10.086219999999999	40.69217	-8.188712
40.64605	-9.964455000000001	40.7733	-8.249595000000001
40.72718	-10.086219999999999	40.85443	-8.249595000000001
40.80831	-10.1471	40.93556	-8.269889
40.88944	-10.18769	41.01669	-8.422095
40.97057	-10.04563	41.09782	-8.452537
41.0517	-10.1674	41.17896	-8.422095
41.13283	-10.086219999999999	41.26009	-8.523565999999999
41.21396	-10.21813	41.34122	-8.584449
41.29509	-10.319600000000001	41.42235	-8.564155
41.376220000000004	-10.289159999999999	41.50348	-8.554008
41.45736	-10.4921	41.58461	-8.625038
41.53849	-10.47181	41.66574	-8.726509
41.61962	-10.542840000000002	41.74687	-8.736656
41.70075	-10.46166	41.828	-8.797538
41.78188	-10.42108	41.90913	-8.797538
41.86301	-10.542840000000002	41.99026	-8.878715
41.94414	-10.613869999999999	42.0714	-8.949745
42.02527	-10.64431	42.15253	-8.990333
42.1064	-10.62402	42.23366	-9.061363
42.18753	-10.63416	42.31479	-9.112098
42.26867	-10.81681	42.39592	-9.162834
42.3498	-10.6849	42.47705	-9.152687
42.43093	-10.73563	42.55818	-9.244011
42.51206	-10.8574	42.63931	-9.3048940000000009
42.59319	-10.72549	42.72044	-9.365776
42.67432	-10.89799	42.80157	-9.426658999999999
42.75545	-10.948720000000002	42.88271	-9.416512
42.83658	-10.91828	42.96384	-9.467247
42.91771	-10.92843	43.04497	-9.497689000000001
42.99884	-11.2024	43.1261	-9.558570999999999
43.07998	-11.11108	43.20723	-9.609307
43.16111	-11.10093	43.28836	-9.70063
43.24224	-11.121220000000001	43.36949	-9.70063
43.32337	-11.2024	43.45062	-9.751366
43.4045	-11.21255	43.53175	-9.822396
43.48563	-11.273430000000001	43.61288	-9.873130999999999
43.56676	-11.273430000000001	43.69402	-9.984749
43.64789	-11.324169999999999	43.77515	-9.984749
43.72902	-11.34446	43.85628	-9.994896
43.81015	-11.395199999999999	43.93741	-10.04563
43.89128	-11.34446	44.01854	-10.1471
43.97242	-11.33431	44.09967	-10.1674
44.05355	-11.425640000000001	44.1808	-10.15725
44.13468	-11.48652	44.26193	-10.23843
44.21581	-11.50682	44.34306	-10.36019
44.29694	-11.5677	44.42419	-10.30946
44.37807	-11.59814	44.50533	-10.350050000000001
44.4592	-11.7402	44.58646	-10.37034
44.54033	-11.69961	44.66759	-10.431220000000001
44.62146	-11.62858	44.74872	-10.46166
44.70259	-11.7402	44.82985	-10.502249999999998
44.78373	-11.841669999999999	44.91098	-10.52255
44.86486	-11.66917	44.99211	-10.563130000000001
44.94599	-11.67932	45.07324	-10.70519
45.02712	-11.801079999999999	45.15437	-10.695050000000002
45.10825	-11.760489999999999	45.2355	-10.64431
45.18938	-11.841669999999999	45.31664	-10.755930000000001
45.27051	-11.983730000000001	45.39777	-10.837110000000001
45.35164	-11.983730000000001	45.4789	-10.867550000000001
45.43277	-12.054760000000002	45.56003	-10.92843
45.5139	-11.93299	45.64116	-10.95887
45.59504	-11.87211	45.72229	-11.04005
45.67617	-12.01417	45.80342	-11.14152
45.7573	-11.96344	45.88455	-11.161810000000001
45.83843	-12.10549	45.96568	-11.171959999999999
45.91956	-12.01417	46.04681	-11.2024
46.00069	-12.054760000000002	46.12794	-11.2024
46.08182	-12.095350000000002	46.20908	-11.36476
46.16295	-11.86196	46.29021	-11.34446
46.24408	-12.0852	46.371339999999996	-11.354610000000001
46.32521	-12.206969999999998	46.45247	-11.34446
46.40635	-12.14608	46.5336	-11.232840000000001
46.48748	-12.18667	46.61473	-11.2227
46.56861	-12.267850000000001	46.69586	-10.73563
46.64974	-12.318579999999999	46.77699	-10.52255
46.73087	-12.50123	46.85812	-10.57328
46.812	-12.551969999999999	46.93925	-10.70519
46.89313	-12.24755	47.02039	-10.73563
46.97426	-12.308440000000001	47.10152	-10.77622
47.05539	-12.277989999999999	47.18265	-10.796520000000001
47.13652	-12.47079	47.26378	-10.867550000000001
47.21766	-12.40991	47.34491	-10.81681
47.29879	-12.49108	47.42604	-10.82696
47.37992	-12.52152	47.50717	-10.88784
47.46105	-12.4302	47.5883	-11.00961
47.54218	-12.511379999999999	47.66943	-10.92843
47.62331	-12.592550000000001	47.75056	-11.019749999999998
47.70444	-12.58241	47.8317	-11.07049
47.78557	-12.67373	47.91283	-11.07049
47.8667	-12.67373	47.99396	-11.15167
47.94783	-12.71432	48.07509	-11.18211
48.02896	-12.81579	48.15622	-11.161810000000001
48.1101	-12.91726	48.23735	-11.11108
48.19123	-12.81579	48.31848	-11.15167
48.27236	-12.9477	48.39961	-11.283579999999999
48.35349	-12.968	48.48074	-11.314020000000001
